scientific_name,chinese_name,matched_scientific_name,inaturalist_taxon_id,rank,record_count,iconic_taxon_name,taxon_kingdom_name,taxon_class_name,taxon_family_name,taxon_genus_name,observations_count,source,error,queried_at
Aechmea magdalenae,,Aechmea magdalenae,273939,species,1,Plantae,Plantae,Liliopsida,Bromeliaceae,Aechmea,399,iNaturalist,,2026-06-16T18:48:18
Aedes albopictus,白纹伊蚊,Aedes albopictus,62984,species,54,Insecta,Animalia,Insecta,Culicidae,Aedes,18462,iNaturalist,,2026-06-16T18:48:18
Aedia leucomelas,白斑烦夜蛾,Aedia leucomelas,339567,species,1,Insecta,Animalia,Insecta,Noctuidae,Aedia,3948,iNaturalist,,2026-06-16T18:48:18
Aegiceras corniculatum,蜡烛果,Aegiceras corniculatum,183233,species,39,Plantae,Plantae,Magnoliopsida,Primulaceae,Aegiceras,3297,iNaturalist,,2026-06-16T18:48:18
Aegolipton marginale,缘毛角天牛,Aegolipton marginale,490712,species,4,Insecta,Animalia,Insecta,Cerambycidae,Aegolipton,431,iNaturalist,,2026-06-16T18:48:18
Aethopyga christinae,叉尾太阳鸟,Aethopyga christinae,13428,species,4,Aves,Animalia,Aves,Nectariniidae,Aethopyga,2558,iNaturalist,,2026-06-16T18:48:18
Agama picticauda,纹尾鬣蜥,Agama picticauda,797597,species,1,Reptilia,Animalia,Reptilia,Agamidae,Agama,15657,iNaturalist,,2026-06-16T18:48:18
Agapanthus africanus,百子莲,Agapanthus africanus,56019,species,2,Plantae,Plantae,Liliopsida,Amaryllidaceae,Agapanthus,2789,iNaturalist,,2026-06-16T18:48:19
Agapanthus praecox,早花百子莲,Agapanthus praecox,199324,species,5,Plantae,Plantae,Liliopsida,Amaryllidaceae,Agapanthus,20108,iNaturalist,,2026-06-16T18:48:18
Agaricus arvensis,野蘑菇,Agaricus arvensis,58699,species,1,Fungi,Fungi,Agaricomycetes,Agaricaceae,Agaricus,9055,iNaturalist,,2026-06-16T18:48:19
Agathia lycaenaria,夹竹桃艳青尺蛾,Agathia lycaenaria,124246,species,2,Insecta,Animalia,Insecta,Geometridae,Agathia,576,iNaturalist,,2026-06-16T18:48:19
Agave americana,龙舌兰,Agave americana,64103,species,1,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,40063,iNaturalist,,2026-06-16T18:48:19
Agave angustifolia,狭叶龙舌兰,Agave angustifolia,50821,species,18,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,7338,iNaturalist,,2026-06-16T18:48:19
Agave decipiens,显茎龙舌兰,Agave decipiens,158088,species,3,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,798,iNaturalist,,2026-06-16T18:48:19
Agave desmettiana,礼美龙舌兰,Agave desmetiana,158090,species,2,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,4252,iNaturalist,,2026-06-16T18:48:19
Agave kerchovei,五色万代,Agave kerchovei,281040,species,1,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,492,iNaturalist,,2026-06-16T18:48:19
Agave lophantha,单纹龙舌兰,Agave lophantha,158093,species,1,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,1891,iNaturalist,,2026-06-16T18:48:19
Agave sisalana,剑麻,Agave sisalana,158103,species,4,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,3492,iNaturalist,,2026-06-16T18:48:19
Agave vivipara,狭叶龙舌兰,Agave vivipara,204923,species,35,Plantae,Plantae,Liliopsida,Asparagaceae,Agave,3786,iNaturalist,,2026-06-16T18:48:19
Agenocimbex maculatus,朴童锤角叶蜂,Agenocimbex maculatus,1455037,species,1,Insecta,Animalia,Insecta,Cimbicidae,Agenocimbex,340,iNaturalist,,2026-06-16T18:48:20
Ageratum conyzoides,藿香蓟,Ageratum conyzoides,143422,species,24,Plantae,Plantae,Magnoliopsida,Asteraceae,Ageratum,13911,iNaturalist,,2026-06-16T18:48:20
Ageratum houstonianum,熊耳草,Ageratum houstonianum,120944,species,4,Plantae,Plantae,Magnoliopsida,Asteraceae,Ageratum,19995,iNaturalist,,2026-06-16T18:48:20
Aglaia elaeagnoidea,山椤,Aglaia elaeagnoidea,189024,species,1,Plantae,Plantae,Magnoliopsida,Meliaceae,Aglaia,208,iNaturalist,,2026-06-16T18:48:20
Aglaia odorata,米仔兰,Aglaia odorata,189056,species,129,Plantae,Plantae,Magnoliopsida,Meliaceae,Aglaia,4220,iNaturalist,,2026-06-16T18:48:20
Aglaonema commutatum,银后万年青,Aglaonema commutatum,158118,species,13,Plantae,Plantae,Liliopsida,Araceae,Aglaonema,4863,iNaturalist,,2026-06-16T18:48:20
Agriocnemis pygmaea,黄尾小蟌,Agriocnemis pygmaea,93558,species,9,Insecta,Animalia,Insecta,Coenagrionidae,Agriocnemis,8503,iNaturalist,,2026-06-16T18:48:20
Agrius convolvuli,甘薯天蛾,Agrius convolvuli,124031,species,5,Insecta,Animalia,Insecta,Sphingidae,Agrius,23604,iNaturalist,,2026-06-16T18:48:20
Agrocybe retigera,,Agrocybe retigera,179246,species,2,Fungi,Fungi,Agaricomycetes,Hymenogastraceae,Agrocybe,1164,iNaturalist,,2026-06-16T18:48:20
Agrotis ipsilon,小地老虎,Agrotis ipsilon,126276,species,1,Insecta,Animalia,Insecta,Noctuidae,Agrotis,31296,iNaturalist,,2026-06-16T18:48:21
Ahaetulla prasina,绿瘦蛇,Ahaetulla prasina,30187,species,1,Reptilia,Animalia,Reptilia,Colubridae,Ahaetulla,6250,iNaturalist,,2026-06-16T18:48:21
Ailanthus altissima,臭椿,Ailanthus altissima,57278,species,2,Plantae,Plantae,Magnoliopsida,Simaroubaceae,Ailanthus,114391,iNaturalist,,2026-06-16T18:48:21
Ailuropoda melanoleuca,大熊猫,Ailuropoda melanoleuca,41659,species,1,Mammalia,Animalia,Mammalia,Ursidae,Ailuropoda,1326,iNaturalist,,2026-06-16T18:48:21
Ajuga nipponensis,,,,,3,Plantae,Plantae,Magnoliopsida,Lamiaceae,Ajuga,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:29
Albizia julibrissin,,,,,4,Plantae,Plantae,Magnoliopsida,Fabaceae,Albizia,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:29
Albizia lebbeck,,,,,44,Plantae,Plantae,Magnoliopsida,Fabaceae,Albizia,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:29
Albizia procera,黄豆树,Albizia procera,158144,species,5,Plantae,Plantae,Magnoliopsida,Fabaceae,Albizia,960,iNaturalist,,2026-06-16T18:48:21
Alcea rosea,,,,,4,Plantae,Plantae,Magnoliopsida,Malvaceae,Alcea,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:30
Alcedo atthis,,,,,15,Aves,Animalia,Aves,Alcedinidae,Alcedo,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:30
Alchornea trewioides,,,,,1,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Alchornea,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:30
Alcippe hueti,,,,,2,Aves,Animalia,Aves,Leiothrichidae,Alcippe,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:30
Aldrichetta forsteri,福氏厚唇鲻,Aldrichetta forsteri,322001,species,1,Actinopterygii,Animalia,Actinopterygii,Mugilidae,Aldrichetta,1308,iNaturalist,,2026-06-16T18:48:22
Aleurites moluccanus,石栗,Aleurites moluccanus,370011,species,69,Plantae,Plantae,Magnoliopsida,Euphorbiaceae,Aleurites,4344,iNaturalist,,2026-06-16T18:48:23
Alissonotum pauper,光背蔗犀金龟,Alissonotum pauper,461436,species,4,Insecta,Animalia,Insecta,Scarabaeidae,Alissonotum,190,iNaturalist,,2026-06-16T18:48:23
Allaeotes niger,黑异象,Allaeotes niger,1269653,species,2,Insecta,Animalia,Insecta,Curculionidae,Allaeotes,50,iNaturalist,,2026-06-16T18:48:24
Allamanda blanchetii,紫蝉花,Allamanda blanchetii,338131,species,23,Plantae,Plantae,Magnoliopsida,Apocynaceae,Allamanda,6183,iNaturalist,,2026-06-16T18:48:25
Allamanda cathartica,软枝黄蝉,Allamanda cathartica,62937,species,99,Plantae,Plantae,Magnoliopsida,Apocynaceae,Allamanda,19916,iNaturalist,,2026-06-16T18:48:25
Allamanda schottii,硬枝黄蝉,Allamanda schottii,327732,species,246,Plantae,Plantae,Magnoliopsida,Apocynaceae,Allamanda,3372,iNaturalist,,2026-06-16T18:48:26
Allium cepa,洋葱,Allium cepa,48592,species,2,Plantae,Plantae,Liliopsida,Amaryllidaceae,Allium,4968,iNaturalist,,2026-06-16T18:48:27
Allium fistulosum,葱,Allium fistulosum,126225,species,9,Plantae,Plantae,Liliopsida,Amaryllidaceae,Allium,1893,iNaturalist,,2026-06-16T18:48:27
Allium sativum,大蒜,Allium sativum,75363,species,1,Plantae,Plantae,Liliopsida,Amaryllidaceae,Allium,3282,iNaturalist,,2026-06-16T18:48:28
Allium tuberosum,韭,Allium tuberosum,122343,species,2,Plantae,Plantae,Liliopsida,Amaryllidaceae,Allium,8071,iNaturalist,,2026-06-16T18:48:29
Allocasuarina littoralis,海滨异木麻黄,Allocasuarina littoralis,323786,species,3,Plantae,Plantae,Magnoliopsida,Casuarinaceae,Allocasuarina,5509,iNaturalist,,2026-06-16T18:48:29
Allocasuarina nana,,,,,12,Plantae,Plantae,Magnoliopsida,Casuarinaceae,Allocasuarina,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:38
Allopeas gracile,,,,,1,Mollusca,Animalia,Gastropoda,Achatinidae,Allopeas,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:38
Allotraeus rufescens,,,,,3,Insecta,Animalia,Insecta,Cerambycidae,Allotraeus,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:39
Alocasia cucullata,尖尾芋,Alocasia cucullata,69232,species,7,Plantae,Plantae,Liliopsida,Araceae,Alocasia,2219,iNaturalist,,2026-06-16T18:48:30
Alocasia longiloba,,,,,1,Plantae,Plantae,Liliopsida,Araceae,Alocasia,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:39
Alocasia macrorrhizos,热亚海芋,Alocasia macrorrhizos,126165,species,68,Plantae,Plantae,Liliopsida,Araceae,Alocasia,7722,iNaturalist,,2026-06-16T19:08:55
Alocasia odora,海芋,Alocasia odora,362126,species,170,Plantae,Plantae,Liliopsida,Araceae,Alocasia,19218,iNaturalist,,2026-06-16T19:07:54
Aloe arborescens,,,,,1,Plantae,Plantae,Liliopsida,Asphodelaceae,Aloe,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:39
Aloe juvenna,翡翠殿,Aloe juvenna,512266,species,1,Plantae,Plantae,Liliopsida,Asphodelaceae,Aloe,960,iNaturalist,,2026-06-16T18:48:31
Aloe vera,芦荟,Aloe vera,126882,species,29,Plantae,Plantae,Liliopsida,Asphodelaceae,Aloe,47087,iNaturalist,,2026-06-16T18:48:32
Aloysia citrodora,柠檬马鞭草,Aloysia citrodora,332455,species,1,Plantae,Plantae,Magnoliopsida,Verbenaceae,Aloysia,4124,iNaturalist,,2026-06-16T18:48:32
Alpinia galanga,大高良姜,Alpinia galanga,123732,species,20,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,1135,iNaturalist,,2026-06-16T18:48:33
Alpinia hainanensis,海南山姜,Alpinia hainanensis,363313,species,36,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,1177,iNaturalist,,2026-06-16T18:48:34
Alpinia officinarum,高良姜,Alpinia officinarum,785903,species,1,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,69,iNaturalist,,2026-06-16T18:48:34
Alpinia oxyphylla,益智,Alpinia oxyphylla,544838,species,1,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,44,iNaturalist,,2026-06-16T18:48:35
Alpinia purpurata,紫花山姜,Alpinia purpurata,154466,species,4,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,21028,iNaturalist,,2026-06-16T18:48:36
Alpinia uraiensis,大花山姜,Alpinia uraiensis,821121,species,7,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,2824,iNaturalist,,2026-06-16T18:48:36
Alpinia zerumbet,艳山姜,Alpinia zerumbet,154776,species,84,Plantae,Plantae,Liliopsida,Zingiberaceae,Alpinia,18549,iNaturalist,,2026-06-16T18:48:37
Alstonia constricta,,Alstonia constricta,155623,species,1,Plantae,Plantae,Magnoliopsida,Apocynaceae,Alstonia,1020,iNaturalist,,2026-06-16T18:48:38
Alstonia scholaris,糖胶树,Alstonia scholaris,189179,species,28,Plantae,Plantae,Magnoliopsida,Apocynaceae,Alstonia,8315,iNaturalist,,2026-06-16T18:48:38
Alternanthera bettzickiana,,,,,3,Plantae,Plantae,Magnoliopsida,Amaranthaceae,Alternanthera,,iNaturalist,HTTPError: HTTP Error 429: normal_throttling,2026-06-16T18:48:48
Alternanthera brasiliana,红龙苋,Alternanthera brasiliana,158226,species,52,Plantae,Plantae,Magnoliopsida,Amaranthaceae,Alternanthera,9372,iNaturalist,,2026-06-16T18:48:44
Alternanthera ficoidea,绿苋草,Alternanthera ficoidea,279260,species,2,Plantae,Plantae,Magnoliopsida,Amaranthaceae,Alternanthera,5755,iNaturalist,,2026-06-16T18:48:39
Alternanthera philoxeroides,空心莲子草,Alternanthera philoxeroides,75386,species,13,Plantae,Plantae,Magnoliopsida,Amaranthaceae,Alternanthera,15760,iNaturalist,,2026-06-16T18:48:41
